-1	1.0	0.98745966	0.9937298	0.0	0.89435685
-1	1.0	0.98745966	0.9937298	0.0	0.89435685	1
0	0.50922346	0.58361495	0.5464192	0.0059701493	0.49237427	0
0	0.73298144	0.9041075	0.8185445	0.0014925373	0.7368393	0
0	0.5652174	0.63204926	0.5986333	0.0014925373	0.5389192	0
0	0.5380639	0.6366299	0.5873469	0.0014925373	0.52876145	0
0	0.50672036	0.59675604	0.5517382	0.0014925373	0.4967136	0
0	0.42449802	0.4601637	0.44233087	0.0059701493	0.39869478	0
0	0.47913152	0.58999777	0.5345646	0.0014925373	0.48125738	0
0	0.50797194	0.5857175	0.5468447	0.0014925373	0.49230948	0
0	0.48125374	0.587745	0.5344994	0.0014925373	0.4811987	0
0	0.7051205	0.88067883	0.79289967	0.0014925373	0.71375895	0
0	0.50867933	0.6138019	0.5612406	0.0044776117	0.5055643	0
0	0.50813514	0.5876699	0.5479025	0.0014925373	0.49326152	0
0	0.47994778	0.5550049	0.5174763	0.0059701493	0.46632567	0
0	0.50867933	0.6005857	0.55463254	0.0014925373	0.49931854	0
0	0.4815258	0.5419389	0.51173234	0.0014925373	0.46070835	0
0	0.5078087	0.5943531	0.5510809	0.0014925373	0.49612203	0
0	0.4240627	0.4674476	0.44575515	0.0029850747	0.40147814	0
0	0.566088	0.6447398	0.6054139	0.0014925373	0.5450218	0
0	0.5367579	0.58451605	0.560637	0.0059701493	0.5051703	0
0	0.50867933	0.57482916	0.54175425	0.0059701493	0.4881758	0
0	0.9684932	0.98625815	0.9773757	0.0014925373	0.8797873	0
0	0.5362682	0.61627996	0.57627404	0.0014925373	0.51879585	0
0	0.50867933	0.57475406	0.5417167	0.0029850747	0.4878435	0
0	0.5373021	0.5942029	0.5657525	0.0059701493	0.50977427	0
0	0.566088	0.6454907	0.60578936	0.0029850747	0.5455089	0
0	0.4523045	0.5622137	0.50725913	0.0029850747	0.4568317	0
0	0.4516515	0.5256439	0.4886477	0.0029850747	0.44008142	0
0	0.47978452	0.57197565	0.5258801	0.0014925373	0.47344133	0
0	0.79207706	0.94315535	0.8676162	0.0014925373	0.7810038	0
0	0.50867933	0.6149283	0.5618038	0.0014925373	0.50577265	0
0	0.5079175	0.5760306	0.54197407	0.0029850747	0.48807514	0
0	0.5096588	0.5548547	0.5322567	0.0029850747	0.47932953	0
0	0.50846165	0.5778328	0.5431472	0.0014925373	0.48898172	0
0	0.5367579	0.6295712	0.5831646	0.0044776117	0.52529585	0
0	0.53800946	0.5936022	0.5658058	0.0029850747	0.5095237	0
0	0.45235893	0.54697	0.4996645	0.0029850747	0.44999653	0
0	0.4519236	0.5515506	0.5017371	0.0029850747	0.4518619	0

