58	0.111770146	0.15010889	0.13093951	0.938806	0.85801935
-1	1.0	0.98745966	0.9937298	0.0	0.099373005	1
0	0.42351854	0.50949913	0.46650884	0.0029850747	0.04933746	0
0	0.53643143	0.61087334	0.5736524	0.0014925373	0.058708537	0
0	0.45170593	0.5248179	0.4882619	0.0029850747	0.05151277	0
0	0.480111	0.5678456	0.5239783	0.0029850747	0.05508441	0
0	0.45257658	0.46587068	0.45922363	0.0014925373	0.047265656	0
0	0.50846165	0.58609295	0.54727733	0.0014925373	0.05607103	0
0	0.79207706	0.94315535	0.8676162	0.0014925373	0.08810492	1
1	0.45116177	0.5410378	0.49609977	0.0044776117	0.05363984	0
1	0.42286554	0.5375084	0.480187	0.0044776117	0.052048564	0
1	0.42270228	0.53247726	0.4775898	0.0044776117	0.05178884	0
1	0.45094413	0.54396635	0.49745524	0.0044776117	0.05377539	0
1	0.5370844	0.64256215	0.58982325	0.0059701493	0.06435547	0
1	0.5086249	0.5761808	0.54240286	0.0059701493	0.059613433	1
2	0.45154268	0.53172636	0.49163452	0.04477612	0.08946197	1
3	0.42368177	0.5182098	0.47094578	0.065671645	0.10619907	1
4	0.28339773	0.32867762	0.30603766	0.06865671	0.092394814	1
5	0.28247267	0.28332207	0.28289735	0.098507464	0.11694646	1
6	0.25461173	0.28039348	0.2675026	0.13134329	0.14495923	1
7	0.25406757	0.27611324	0.2650904	0.17313433	0.18232994	1
8	0.25406757	0.2746865	0.26437703	0.21940298	0.2239004	1
9	0.25406757	0.2746865	0.26437703	0.29701492	0.29375112	1
10	0.22615226	0.2541864	0.24016932	0.33731344	0.32759905	1
11	0.22615226	0.25516257	0.24065742	0.37910447	0.36525977	1
12	0.22615226	0.25516257	0.24065742	0.4477612	0.42705083	1
13	0.22615226	0.25170833	0.23893028	0.47164178	0.4483706	1
14	0.22615226	0.25170833	0.23893028	0.48656717	0.46180347	1
15	0.22615226	0.25538784	0.24077004	0.5179104	0.49019638	1
16	0.22615226	0.2502065	0.23817939	0.70298505	0.6565045	1
17	0.22615226	0.2510325	0.23859239	0.79850745	0.7425159	1
18	0.25270718	0.27941728	0.26606223	0.8	0.7466062	1
19	0.25270718	0.27941728	0.26606223	0.8	0.7466062	1
20	0.22484627	0.23481265	0.22982946	0.84626865	0.7846247	1
21	0.19698536	0.22805436	0.21251985	0.8507463	0.7869236	1
22	0.19671328	0.22354884	0.21013106	0.85373133	0.78937125	1
23	0.19671328	0.21686566	0.20678946	0.8567164	0.79172367	1
24	0.2245742	0.2868514	0.2557128	0.81044775	0.75497425	0
24	0.19671328	0.20207255	0.19939291	0.85820895	0.79232734	1
25	0.16809055	0.19749193	0.18279123	0.8626866	0.79469705	1
26	0.19595146	0.20785463	0.20190305	0.7238806	0.67168283	0
26	0.16809055	0.17038372	0.16923714	0.8985075	0.8255804	1
27	0.16809055	0.17406322	0.1710769	0.9	0.8271076	1
28	0.14022963	0.16790569	0.15406767	0.9044776	0.8294366	1
29	0.14022963	0.16978298	0.1550063	0.9029851	0.82818717	1
30	0.14022963	0.16978298	0.1550063	0.9029851	0.82818717	1
31	0.14022963	0.15987085	0.15005024	0.9044776	0.82903486	1
32	0.1404473	0.16670421	0.15357575	0.90149254	0.8267008	1
33	0.1404473	0.17120974	0.15582852	0.8746269	0.802747	0
33	0.1404473	0.16670421	0.15357575	0.90149254	0.8267008	1
34	0.1404473	0.16670421	0.15357575	0.90149254	0.8267008	1
35	0.14022963	0.16197342	0.15110153	0.9029851	0.8277967	1
36	0.112368725	0.1611474	0.13675806	0.9044776	0.8277056	1
37	0.112368725	0.1573928	0.13488077	0.8761194	0.80199546	0
37	0.11285847	0.103626944	0.108242705	0.9029851	0.8235108	1
38	0.08499755	0.09867087	0.09183421	0.9074627	0.82589984	1
39	0.11285847	0.12472779	0.11879313	0.87014925	0.7950136	1
40	0.11285847	0.1275062	0.120182335	0.8731343	0.7978391	1
41	0.11285847	0.12585416	0.11935632	0.8746269	0.7990998	1
42	0.08499755	0.094165355	0.08958145	0.9119403	0.8297044	1
43	0.08499755	0.08658106	0.08578931	0.91343284	0.8306685	1
44	0.1126408	0.106255166	0.109447986	0.9149254	0.83437765	1
45	0.08477989	0.072764136	0.07877201	0.91940296	0.83533984	1
46	0.08450781	0.08162499	0.083066404	0.9238806	0.8397991	1
47	0.08450781	0.08162499	0.083066404	0.9238806	0.8397991	1
48	0.111770146	0.13982128	0.1257957	0.9268657	0.84675866	1
49	0.111770146	0.1415484	0.12665927	0.9283582	0.8481883	1
50	0.111770146	0.14920779	0.13048896	0.93134326	0.8512578	1
51	0.111770146	0.14920779	0.13048896	0.93134326	0.8512578	1
52	0.111770146	0.14545318	0.12861167	0.9358209	0.8551	1
53	0.111770146	0.14447698	0.12812357	0.9328358	0.8523646	1
54	0.111770146	0.14470226	0.1282362	0.93134326	0.85103256	1
55	0.111770146	0.1528122	0.13229117	0.9328358	0.85278136	1
56	0.111770146	0.14748067	0.12962541	0.9358209	0.8552013	1
57	0.111770146	0.14785613	0.12981313	0.93731344	0.8565634	1
58	0.111770146	0.15010889	0.13093951	0.938806	0.85801935	1
59	0.111770146	0.14290005	0.1273351	0.9343284	0.85362905	1

